1.0,1.0,1.0,1.0,1.0,0.63,1.0,1.0,1.0,1.0,0.32,0.4,0.36,0.36,0.34,0.36,0.39,0.37,0.33,0.41,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
1.0,1.0,1.0,1.0,1.0,0.63,1.0,1.0,1.0,1.0,0.32,0.39,0.36,0.36,0.34,0.36,0.39,0.37,0.33,0.41,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
1.0,1.0,1.0,1.0,1.0,0.63,1.0,1.0,1.0,1.0,0.32,0.4,0.36,0.36,0.34,0.36,0.39,0.37,0.33,0.41,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
1.0,1.0,1.0,1.0,1.0,0.63,1.0,1.0,1.0,1.0,0.32,0.4,0.36,0.36,0.34,0.36,0.39,0.37,0.33,0.41,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
1.0,1.0,1.0,1.0,1.0,0.63,1.0,1.0,1.0,1.0,0.32,0.39,0.36,0.36,0.34,0.36,0.39,0.37,0.33,0.41,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
0.63,0.63,0.63,0.63,0.63,1.0,0.63,0.63,0.63,0.63,0.3,0.34,0.32,0.32,0.31,0.31,0.36,0.35,0.3,0.34,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1.0,1.0,1.0,1.0,1.0,0.63,1.0,1.0,1.0,1.0,0.32,0.4,0.36,0.36,0.34,0.36,0.39,0.37,0.33,0.41,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
1.0,1.0,1.0,1.0,1.0,0.63,1.0,1.0,1.0,1.0,0.32,0.39,0.36,0.36,0.34,0.36,0.39,0.37,0.33,0.41,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
1.0,1.0,1.0,1.0,1.0,0.63,1.0,1.0,1.0,1.0,0.32,0.4,0.36,0.36,0.34,0.36,0.39,0.37,0.33,0.41,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
1.0,1.0,1.0,1.0,1.0,0.63,1.0,1.0,1.0,1.0,0.32,0.4,0.36,0.36,0.34,0.36,0.39,0.37,0.33,0.41,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
0.32,0.32,0.32,0.32,0.32,0.3,0.32,0.32,0.32,0.32,1.0,0.61,0.49,0.59,0.64,0.52,0.55,0.58,0.56,0.48,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
0.4,0.39,0.4,0.4,0.39,0.34,0.4,0.39,0.4,0.4,0.61,1.0,0.46,0.57,0.7,0.57,0.51,0.56,0.55,0.72,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
0.36,0.36,0.36,0.36,0.36,0.32,0.36,0.36,0.36,0.36,0.49,0.46,1.0,0.45,0.5,0.7,0.5,0.42,0.57,0.56,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0.36,0.36,0.36,0.36,0.36,0.32,0.36,0.36,0.36,0.36,0.59,0.57,0.45,1.0,0.6,0.41,0.72,0.63,0.61,0.6,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
0.34,0.34,0.34,0.34,0.34,0.31,0.34,0.34,0.34,0.34,0.64,0.7,0.5,0.6,1.0,0.46,0.54,0.57,0.57,0.62,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
0.36,0.36,0.36,0.36,0.36,0.31,0.36,0.36,0.36,0.36,0.52,0.57,0.7,0.41,0.46,1.0,0.43,0.42,0.57,0.53,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
0.39,0.39,0.39,0.39,0.39,0.36,0.39,0.39,0.39,0.39,0.55,0.51,0.5,0.72,0.54,0.43,1.0,0.73,0.55,0.55,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
0.37,0.37,0.37,0.37,0.37,0.35,0.37,0.37,0.37,0.37,0.58,0.56,0.42,0.63,0.57,0.42,0.73,1.0,0.47,0.54,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
0.33,0.33,0.33,0.33,0.33,0.3,0.33,0.33,0.33,0.33,0.56,0.55,0.57,0.61,0.57,0.57,0.55,0.47,1.0,0.56,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0.41,0.41,0.41,0.41,0.41,0.34,0.41,0.41,0.41,0.41,0.48,0.72,0.56,0.6,0.62,0.53,0.55,0.54,0.56,1.0,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.34,0.34,0.45,0.46,0.43,0.49,0.49,0.4,0.53,0.49,0.43,0.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.34,0.34,0.45,0.46,0.43,0.49,0.49,0.4,0.53,0.49,0.43,0.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.34,0.34,0.45,0.46,0.43,0.49,0.49,0.4,0.53,0.49,0.43,0.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.34,0.34,0.45,0.46,0.43,0.49,0.49,0.4,0.53,0.49,0.43,0.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.34,0.34,0.45,0.46,0.43,0.49,0.49,0.4,0.53,0.49,0.43,0.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.34,0.34,0.45,0.46,0.43,0.49,0.49,0.4,0.53,0.49,0.43,0.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.34,0.34,0.45,0.46,0.43,0.49,0.49,0.4,0.53,0.49,0.43,0.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.34,0.34,0.45,0.46,0.43,0.49,0.49,0.4,0.53,0.49,0.43,0.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.34,0.34,0.45,0.46,0.43,0.49,0.49,0.4,0.53,0.49,0.43,0.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.34,0.34,0.45,0.46,0.43,0.49,0.49,0.4,0.53,0.49,0.43,0.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
